,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mto Wa Mbu,TZ,69.96,scattered clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
6,Cape Town,ZA,64.09,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
8,Mahebourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
9,Port Shepstone,ZA,71.98,scattered clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
10,Rio Tinto,PT,65.28,clear sky,41.1826,-8.5581,Axis Porto Business & SPA Hotel
15,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
25,East London,ZA,67.05,clear sky,-33.0153,27.9116,Tu Casa
26,Hualmay,PE,64.72,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
31,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
34,San Juan,AR,69.19,broken clouds,-31.5375,-68.5364,Hotel Provincial
38,Cidreira,BR,63.9,overcast clouds,-30.1811,-50.2056,Hotel Castelo
39,Port Elizabeth,ZA,63.32,broken clouds,-33.918,25.5701,39 On Nile Guest House
41,Niort,FR,61.18,broken clouds,46.3333,-0.3333,Hôtel Première Classe Niort La Crèche
42,Mauganj,IN,69.22,clear sky,24.6833,81.8833,Hotel Shagun Palace & Marriage Garden
46,Makrana,IN,71.62,clear sky,27.05,74.7167,Ganpati Guest House
47,Muros,ES,61.84,clear sky,42.7762,-9.0603,Apartment Av. Castelao
53,Colares,PT,68.76,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
57,Ponta Do Sol,PT,74.01,light rain,32.6667,-17.1,Hotel do Campo
58,Culfa,AZ,62.47,overcast clouds,38.9558,45.6308,Hotel Araz
70,Saumur,FR,61.9,overcast clouds,47.3333,-0.25,Hôtel la Longue Vue
73,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
79,Mizdah,LY,62.29,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
88,Nampula,MZ,73.35,clear sky,-15.1165,39.2666,Ruby Backpackers
90,Antalaha,MG,65.46,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
91,Challans,FR,61.0,broken clouds,46.8436,-1.8749,Citotel Le Challans
92,Rivera,UY,61.05,overcast clouds,-30.9053,-55.5508,Emirates Hotel e Suítes
94,Boundiali,CI,74.62,scattered clouds,9.5217,-6.4869,Hotel Paysan Boundiali
98,Port Alfred,ZA,63.18,scattered clouds,-33.5906,26.891,The Halyards Hotel
100,Lixourion,GR,66.11,clear sky,38.2019,20.4314,Hotel Summery
103,Chiman,PK,68.22,clear sky,32.5463,73.8138,Master Muhammad zafar iqbal
104,Barcelona,ES,73.33,scattered clouds,41.3888,2.1590000000000003,Axel Hotel Barcelona
110,Rosetta,EG,72.39,scattered clouds,31.4044,30.4164,Green Valley
112,Begun,IN,67.57,clear sky,24.9833,75.0,Fort Begu (1430 AD)
117,Saurimo,AO,64.04,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
120,Upata,VE,73.54,scattered clouds,8.0086,-62.3989,Posada Villa Nela
121,Evinayong,GQ,68.07,overcast clouds,1.4368,10.5512,Hotel Don Patricio
122,Malakal,SS,72.64,overcast clouds,9.5334,31.6605,Nile Palace Hotel
123,Siyabuswa,ZA,70.75,overcast clouds,-25.1132,29.0445,Survivor Africa Game Lodge
126,Sao Joao Del Rei,BR,74.79,overcast clouds,-21.1356,-44.2617,Solara Hotel
130,Xai-Xai,MZ,70.75,broken clouds,-25.0519,33.6442,Complexo da Familia
135,Saint-Joseph,RE,66.58,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
142,Antofagasta,CL,60.08,few clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
143,Virarajendrapet,IN,66.31,overcast clouds,12.2,75.8,Orchid Inn
145,Mbaiki,CF,69.57,broken clouds,3.8678,17.9892,Motel MBM
146,Awjilah,LY,67.69,clear sky,29.1081,21.2869,المنزل
150,Carnarvon,AU,61.77,clear sky,-24.8667,113.6333,Hospitality Carnarvon
151,Vila Franca Do Campo,PT,61.21,light rain,37.7167,-25.4333,Pestana Bahia Praia
152,Chadiza,ZM,69.82,scattered clouds,-14.0678,32.4392,Sankhani Guest House
160,Dannenberg,DE,64.15,overcast clouds,53.0967,11.09,Alte Post
161,Castro,BR,62.53,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
162,Teguise,ES,68.22,clear sky,29.0605,-13.564,B&B La Casona de Nazaret
164,Aljezur,PT,65.82,clear sky,37.3191,-8.8033,Amazigh Hostel
167,Grado,ES,64.24,clear sky,43.388000000000005,-6.0743,El Lacayo de Sestiello
168,Ibra,OM,71.15,overcast clouds,22.6906,58.5334,مزرعة راحة النفوس المنزفة
173,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
180,San Lawrenz,MT,69.21,few clouds,36.0553,14.204,San Andrea Hotel
