City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Krasnoarmeyskiy,RU,47.0114,42.2072,45.21,53,1,4.81,clear sky
1,Mto Wa Mbu,TZ,-3.35,35.85,69.96,71,36,4.83,scattered clouds
2,Chervishevo,RU,56.9464,65.4278,43.09,84,100,7.0,overcast clouds
3,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,83,0,18.41,clear sky
4,Salinas,US,36.6777,-121.6555,80.56,54,0,11.5,clear sky
5,Jamestown,US,42.097,-79.2353,44.19,53,0,16.11,clear sky
6,Cape Town,ZA,-33.9258,18.4232,64.09,79,78,11.01,broken clouds
7,Tessalit,ML,20.1986,1.0114,83.7,19,4,12.88,clear sky
8,Mahebourg,MU,-20.4081,57.7,70.09,73,20,5.75,few clouds
9,Port Shepstone,ZA,-30.7414,30.455,71.98,90,34,11.81,scattered clouds
10,Rio Tinto,PT,41.1826,-8.5581,65.28,85,0,7.0,clear sky
11,Bogande,BF,12.9714,-0.1436,84.96,27,4,6.42,clear sky
12,Upernavik,GL,72.7868,-56.1549,37.98,94,100,30.56,light rain
13,Filingue,NE,14.3521,3.3168,87.57,13,4,7.74,clear sky
14,Arlit,NE,18.7369,7.3853,85.68,20,0,14.34,clear sky
15,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,20,5.75,few clouds
16,Mahibadhoo,MV,3.7833,72.9667,81.07,73,100,15.48,overcast clouds
17,Maceio,BR,-9.6658,-35.7353,76.44,88,75,8.05,broken clouds
18,Clyde River,CA,70.4692,-68.5914,26.83,93,100,16.11,fog
19,Qaanaaq,GL,77.484,-69.3632,4.73,76,100,4.68,overcast clouds
20,Tombouctou,ML,20.0,-3.0,86.09,14,79,6.55,broken clouds
21,Ribeira Grande,PT,38.5167,-28.7,58.77,66,100,10.0,overcast clouds
22,Matara,LK,5.9485,80.5353,75.92,90,99,7.47,overcast clouds
23,Vila Velha,BR,-20.3297,-40.2925,76.95,84,75,12.66,broken clouds
